Kevin Gausman,44,8.6,2.6,1.1,0.314,71.40%,4.04,3.87,0.7
Johnny Cueto,53,7.4,2.8,1.3,0.305,71.40%,4.41,4.6,0.4
Logan Webb,47,7.6,3.7,1,0.31,70.70%,4.36,4.42,0.4
Drew Smyly,31,9.1,3.5,1.4,0.307,71.90%,4.41,4.38,0.3
Jeff Samardzija,52,6.6,2.6,1.7,0.298,68.80%,5.02,5.08,0.2
Tyler Anderson,27,8.3,3.3,1.5,0.303,72.00%,4.51,4.66,0.2
Trevor Gott,17,8.5,3.3,0.9,0.314,71.80%,3.91,3.84,0.2
Tony Watson,19,7.9,2.5,1,0.304,72.50%,3.75,3.91,0.2
Trevor Cahill,15,7.4,3.7,1.1,0.311,70.20%,4.57,4.55,0.1
Andrew Suarez,13,6.4,3.3,1.2,0.307,71.10%,4.56,4.74,0.1
Dereck Rodriguez,9,6.6,3.1,1.4,0.304,69.90%,4.81,4.89,0
Wandy Peralta,15,7.5,3.9,0.9,0.31,71.60%,4.13,4.21,0
Tyler Rogers,19,6.5,3.8,0.7,0.307,71.60%,3.99,4.3,0
Sam Selman,5,12,4.7,0.9,0.31,72.90%,3.69,3.5,0
Reyes Moronta,7,10.4,4.8,1.1,0.3,74.10%,3.96,4.14,0
Conner Menez,12,9.7,4.4,1.2,0.304,73.20%,4.22,4.43,0
Andrew Triggs,7,8.1,3.7,1.1,0.307,71.50%,4.25,4.32,0
Carlos Navas,1,8.4,3.1,1.2,0.301,72.70%,4.11,4.26,0
Rico Garcia,12,8.1,3.4,1.1,0.309,71.50%,4.29,4.35,0
Sam Coonrod,11,8.2,4.9,0.9,0.304,71.30%,4.35,4.52,0
Jarlin Garcia,3,7.3,3.5,1.3,0.302,72.10%,4.47,4.72,0
Shaun Anderson,15,7.8,3.3,1.3,0.309,71.30%,4.48,4.56,0
Caleb Baragar,9,7.5,3.8,1.5,0.302,70.00%,5.03,5.18,0